UH_ID,PreferredLanguage,KinName,KinRelation,KinMobile,EscalationConsent,ConsentDate,OptOut
20240038,Marathi,PAWAN GADHAWALE,Brother,8006983692,YES,2025-04-24,NO
20240039,Marathi,KISHOR MAHALLE,Daughter-in-law,8123016049,YES,2024-12-03,NO
20240040,Marathi,,,,NO,,NO
20240041,Marathi,GAJANAN TAYADE,Brother,6335084243,YES,2025-02-17,NO
20240042,Hindi,,,,NO,,NO
20240043,Marathi,,,,NO,,NO
20240044,Marathi,,,,NO,,NO
20240045,Marathi,SHAILAJA GAWANDE,Daughter-in-law,6843113266,YES,2024-11-01,NO
20240046,Marathi,,,,NO,,NO
20240047,Marathi,SANTOSH TAYADE,Daughter,7394612128,YES,2024-06-04,NO
20240048,Hindi,BALKRISHNA DAMODAR,Spouse,9602498663,YES,2024-01-27,NO
20240049,Marathi,KALPANA CHINCHMALATPURE,Brother,6006689041,YES,2023-12-07,NO
20240050,Hindi,VINOD CHINCHMALATPURE,Sister,8290696904,YES,2025-07-19,NO
20240051,Marathi,MANGALA RAUT,Son,7062767293,YES,2023-11-12,NO
20240052,Marathi,MADHUKAR DESHMUKH,Son,9308972073,YES,2023-11-06,NO
20240053,Marathi,PUSHPA QURESHI,Sister,6594747053,YES,2025-02-06,NO
20240054,English,KISHOR CHINCHMALATPURE,Sister,6295651887,YES,2025-04-27,NO
20240055,Hindi,,,,NO,,NO
20240056,Marathi,MAHENDRA RAUT,Sister,7368810138,YES,2024-07-25,NO
20240057,Marathi,,,,NO,,NO
20240058,Marathi,,,,NO,,NO
20240059,Marathi,MANGALA BHATKAR,Brother,9430165562,YES,2024-03-21,NO
20240060,Marathi,SHRIKANT WANKHADE,Son,8364991192,YES,2024-01-30,NO
20240061,Marathi,,,,NO,,NO
20240062,Marathi,SANTOSH KHANDARE,Sister,9263779271,YES,2024-03-09,NO
20240063,Marathi,NAMDEO TAYADE,Sister,9049379582,YES,2024-05-04,NO
20240064,Marathi,ARCHANA WANKHADE,Daughter,9571564380,YES,2026-07-29,NO
20240065,Marathi,ARUN PATHAN,Brother,6001101561,YES,2023-12-19,NO
20240066,Marathi,CHHAYA KHANDARE,Spouse,8619221882,NO,2026-07-18,YES
20240067,Hindi,SAVITA WANKHADE,Spouse,8580151764,YES,2024-12-20,NO
20240068,Hindi,REKHA WANKHADE,Daughter-in-law,6111085184,YES,2023-08-17,NO
20240069,Marathi,,,,NO,,NO
20240070,English,KALPANA THAKARE,Son,9947795003,YES,2023-09-15,NO
20240071,Marathi,,,,NO,,NO
20240072,Marathi,VANDANA NADLIWALE,Sister,8627480661,YES,2025-07-03,NO
20240073,Marathi,,,,NO,,NO
20240074,Marathi,BALKRISHNA THAKARE,Daughter-in-law,7394026908,NO,2023-08-11,NO
20240075,Marathi,,,,NO,,NO
20240076,Marathi,,,,NO,,NO
20240077,Marathi,MADHUKAR INGLE,Daughter,6510972472,YES,2024-10-02,NO
20240078,Hindi,RAJESH THAKARE,Son,9324668997,YES,2024-08-06,NO
20240079,Marathi,DNYANESHWAR MAHALLE,Brother,8663393508,YES,2023-08-31,NO
20240080,Marathi,MAHENDRA GADHAWALE,Spouse,8635175735,NO,2025-03-14,NO
20240082,Hindi,SHRIKANT BORKAR,Daughter,9660414264,YES,2026-07-11,NO
20240083,Marathi,SUNANDA SHAMASKAR,Daughter,7565239188,YES,2024-03-30,NO
20240084,Marathi,,,,NO,,NO
20240085,Marathi,KALPANA DHOTE,Daughter,7015149777,YES,2024-05-28,NO
20240086,Marathi,,,,NO,,NO
20240087,Marathi,,,,NO,,NO
20240088,Marathi,DNYANESHWAR WANKHADE,Brother,8872363411,YES,2025-03-20,NO
20240089,English,MAHENDRA QURESHI,Spouse,8647256046,YES,2024-08-21,NO
20240090,Marathi,SHOBHA NADLIWALE,Brother,8951490967,YES,2024-02-18,NO
20240092,Marathi,ANANT SHAIKH,Brother,7059415671,YES,2023-09-09,NO
20240093,Marathi,VINOD DAMODAR,Spouse,6306967212,YES,2026-08-19,NO
20240094,Marathi,,,,NO,,NO
20240096,Marathi,CHHAYA OBEROI,Brother,7137174190,YES,2023-11-05,NO
20240097,Marathi,INDUMATI KALAMKAR,Son,7715193178,YES,2024-09-01,NO
20240098,Marathi,,,,NO,,NO
20240099,Marathi,DNYANESHWAR PATHAN,Daughter-in-law,9373397010,YES,2023-08-16,NO
20240100,Hindi,REKHA INGLE,Daughter-in-law,9268497042,YES,2024-10-03,NO
20240101,Marathi,,,,NO,,NO
20240102,English,,,,NO,,NO
20240103,Marathi,,,,NO,,NO
20240104,Marathi,,,,NO,,NO
20240105,Marathi,SULOCHANA NADLIWALE,Son,9834260533,NO,2025-03-25,NO
20240106,Marathi,MAHENDRA BORKAR,Daughter-in-law,9942616664,YES,2023-10-21,NO
20240107,Marathi,ALKA DESHMUKH,Daughter-in-law,7384162906,YES,2024-03-13,NO
20240108,Marathi,NIRMALA RAUT,Sister,8044852602,YES,2024-02-21,NO
20240109,Marathi,ALKA KALAMKAR,Daughter,8310915683,YES,2024-08-19,NO
20240110,Marathi,VITTHAL BHATKAR,Daughter,8616222772,YES,2024-07-18,YES
20240111,English,PUSHPA DESHMUKH,Spouse,7936756275,YES,2024-10-24,NO
20240112,Marathi,,,,NO,,NO
20240113,Hindi,,,,NO,,NO
20240114,Marathi,LATA WANKHADE,Daughter,9058653143,YES,2025-03-19,NO
20240115,Marathi,CHHAYA WANKHADE,Daughter-in-law,6470928033,YES,2025-06-23,NO
20240116,Marathi,,,,NO,,NO
20240117,Marathi,REKHA OBEROI,Daughter,6555237839,YES,2024-12-22,NO
20240118,Marathi,PRALHAD SHAIKH,Sister,9506799645,YES,2024-03-07,NO
20240119,Marathi,PAWAN NADLIWALE,Son,6036685743,YES,2023-10-09,NO
20240120,Marathi,ARUN TAYADE,Daughter-in-law,8229254654,YES,2026-07-16,NO
20240121,Marathi,PUSHPA THAKARE,Brother,7530815808,NO,2025-05-09,NO
20240122,English,GAJANAN NADLIWALE,Daughter,6867674482,YES,2024-02-08,NO
20240123,Marathi,,,,NO,,NO
20240124,Marathi,,,,NO,,NO
20240125,Marathi,,,,NO,,NO
20240126,Hindi,NAMDEO GADHAWALE,Sister,6352196091,YES,2026-08-06,NO
20240127,Hindi,SAVITA NADLIWALE,Sister,8455363776,YES,2024-10-21,NO
20240128,Marathi,,,,NO,,YES
20240129,Marathi,KISHOR SHAMASKAR,Daughter,6102915851,YES,2023-11-05,NO
20240130,Hindi,NIRMALA PATHAN,Brother,6271689278,NO,2026-09-04,NO
20240131,Marathi,VANDANA SHAMASKAR,Brother,7477213963,YES,2024-10-18,NO
20240132,Hindi,,,,NO,,NO
20240133,Hindi,KISHOR QURESHI,Spouse,6683202271,YES,2025-06-13,NO
20240134,Marathi,,,,NO,,NO
20240135,Marathi,LATA NADLIWALE,Son,9491566303,YES,2024-11-14,NO
20240136,Hindi,PAWAN SHAMASKAR,Daughter,6279299025,YES,2024-05-31,YES
20240137,Marathi,LATA RAUT,Son,8444962521,YES,2023-09-07,NO
20240138,Hindi,ARUN DHOTE,Spouse,7814456514,YES,2023-11-05,NO
20240139,Hindi,,,,NO,,NO
20240140,Marathi,KAVITA DHOTE,Son,8441710567,YES,2023-11-15,NO
20240141,Marathi,SUDHAKAR PATHAN,Daughter,7873845350,YES,2023-10-31,NO
20240142,Marathi,SANTOSH PATHAN,Brother,6138870571,NO,2024-09-08,NO
20240143,Marathi,,,,NO,,NO
20240144,Marathi,NIRMALA MAHALLE,Brother,6651758666,NO,2023-12-14,NO
20240145,Marathi,PUSHPA DAMODAR,Spouse,9890688785,YES,2024-07-28,YES
20240146,Marathi,LATA DAMODAR,Daughter,9450569582,YES,2023-11-21,NO
20240147,Marathi,SUNANDA MAHALLE,Son,7042387680,YES,2024-05-13,YES
20240148,Marathi,SAVITA GADHAWALE,Daughter-in-law,8195442334,YES,2026-07-15,NO
20240149,Marathi,,,,NO,,NO
20240150,Marathi,MADHUKAR KHANDARE,Brother,6215384503,YES,2024-02-14,NO
20240151,Marathi,,,,NO,,NO
20240152,Marathi,USHA INGLE,Spouse,8784490230,YES,2024-11-22,NO
20240153,Hindi,SHAILAJA SHAMASKAR,Spouse,7617186709,YES,2025-03-31,NO
20240154,Marathi,VINOD OBEROI,Daughter-in-law,6186682726,YES,2023-08-11,NO
20240155,Marathi,KALPANA NADLIWALE,Daughter-in-law,7310208520,YES,2025-05-06,NO
20240156,Marathi,SHRIKANT INGLE,Brother,6457824566,YES,2024-08-14,NO
20240157,Marathi,SHOBHA PATHAN,Sister,7809627861,YES,2024-07-24,NO
20240158,Hindi,VANDANA INGLE,Brother,6562100047,YES,2025-05-20,NO
20240159,Marathi,,,,NO,,NO
20240160,Hindi,PUSHPA TAYADE,Daughter,9106104203,YES,2026-07-16,NO
20240161,Marathi,SAVITA GAWANDE,Spouse,6429103749,NO,2023-08-06,NO
20240162,Hindi,SAVITA RAUT,Daughter,7335625501,YES,2024-09-23,NO
20240163,English,,,,NO,,NO
20240164,Marathi,GAJANAN GAWANDE,Sister,7018870698,YES,2023-08-19,NO
20240165,Marathi,,,,NO,,NO
20240166,Marathi,ARUN WANKHADE,Sister,9345763587,YES,2024-05-10,NO
20240167,Marathi,CHHAYA CHINCHMALATPURE,Brother,9301423527,YES,2024-12-18,NO
20240168,Marathi,VITTHAL OBEROI,Daughter-in-law,6436545191,YES,2024-11-23,NO
20240169,Marathi,,,,NO,,NO
20240170,English,ARUN GAWANDE,Daughter,9716484351,YES,2024-06-30,NO
20240171,Marathi,MADHUKAR GADHAWALE,Daughter,7167290037,YES,2023-09-06,NO
20240172,Marathi,INDUMATI CHINCHMALATPURE,Son,9214276565,YES,2024-09-15,YES
20240173,Marathi,,,,NO,,NO
20240174,Marathi,USHA BHATKAR,Son,7624804677,NO,2025-01-04,NO
20240175,Marathi,VINOD KHANDARE,Sister,6313464439,YES,2025-01-04,NO
20240176,Marathi,VINOD TAYADE,Spouse,7529322769,YES,2023-09-03,NO
20240177,Marathi,ARCHANA KHANDARE,Daughter-in-law,7098110780,YES,2023-09-22,NO
20240178,Marathi,GAJANAN DESHMUKH,Son,9632527397,NO,2024-03-14,NO
20240179,Marathi,LATA NADLIWALE,Spouse,7840888563,YES,2026-08-12,NO
20240180,Hindi,NAMDEO RAUT,Daughter-in-law,9064547839,YES,2024-01-15,NO
20240181,Marathi,SHAILAJA NADLIWALE,Daughter-in-law,7168509894,YES,2025-07-06,NO
20240183,Marathi,,,,NO,,NO
20240184,Marathi,GAJANAN WANKHADE,Brother,7250177591,YES,2025-03-24,NO
20240185,Marathi,CHHAYA GADHAWALE,Daughter-in-law,7405130057,YES,2024-01-14,NO
20240186,Marathi,,,,NO,,NO
20240187,Marathi,,,,NO,,NO
20240188,Marathi,CHHAYA WANKHADE,Son,6642092259,YES,2023-11-11,NO
20240189,Hindi,,,,NO,,NO
20240190,Marathi,BHAGWAN RAUT,Daughter,9316501240,YES,2025-05-18,NO
20240191,Marathi,SHRIKANT SARAP,Daughter-in-law,6282536552,YES,2023-09-01,NO
20240192,Marathi,SUNANDA KALAMKAR,Sister,6050898940,YES,2024-01-22,NO
20240193,Marathi,KALPANA KHANDARE,Daughter,7121511088,NO,2025-05-03,YES
20240194,Marathi,,,,NO,,NO
20240195,Marathi,,,,NO,,NO
20240196,Hindi,,,,NO,,NO
20240197,Hindi,SHAILAJA GAWANDE,Daughter-in-law,7963229919,YES,2024-07-23,NO
20240198,Marathi,,,,NO,,NO
20240199,Marathi,,,,NO,,NO
20240200,Marathi,,,,NO,,NO
20240201,Marathi,SULOCHANA CHINCHMALATPURE,Sister,7072799994,YES,2024-07-26,NO
20240202,Marathi,MADHURI BORKAR,Daughter,9110447614,YES,2023-10-21,NO
20240204,Hindi,SHRIKANT BORKAR,Spouse,6583682517,YES,2024-09-27,NO
20240205,Marathi,VINOD DAMODAR,Spouse,9106208020,YES,2024-10-13,NO
20240206,Hindi,PURUSHOTTAM SHAMASKAR,Daughter,6472380327,YES,2025-06-04,NO
20240207,Marathi,MADHURI MAHALLE,Daughter,6457412986,YES,2024-09-23,NO
20240208,Hindi,RAJESH DESHMUKH,Sister,9718323953,YES,2026-08-14,NO
20240209,Marathi,,,,NO,,NO
20240210,Hindi,MANGALA KALAMKAR,Spouse,9199613069,YES,2024-12-10,NO
20240211,Marathi,,,,NO,,NO
20240212,Marathi,BALKRISHNA KALAMKAR,Sister,6515848882,NO,2024-07-04,NO
20240213,Marathi,,,,NO,,NO
20240214,Marathi,,,,NO,,NO
20240215,Marathi,PURUSHOTTAM GAWANDE,Sister,7864018101,YES,2025-01-11,NO
20240216,Hindi,,,,NO,,NO
20240217,Hindi,SHRIKANT GAWANDE,Son,7945546972,YES,2025-02-20,NO
20240218,Marathi,USHA MAHALLE,Son,8791633928,YES,2024-10-24,NO
20240219,Marathi,,,,NO,,NO
20240220,Hindi,PAWAN OBEROI,Daughter,6101801380,YES,2023-07-29,NO
20240221,Hindi,,,,NO,,NO
20240222,Marathi,VITTHAL GAWANDE,Sister,6138081813,NO,2025-07-04,NO
20240223,Marathi,ANANT TAYADE,Brother,6981644337,YES,2024-04-05,NO
20240224,Marathi,SANTOSH SHAIKH,Sister,7381651424,YES,2025-06-22,NO
20240226,Marathi,,,,NO,,NO
20240227,Hindi,VANDANA QURESHI,Spouse,6047962625,YES,2024-07-14,NO
20240228,Hindi,RAJESH GADHAWALE,Brother,9264377157,YES,2023-11-03,NO
20240229,Marathi,,,,NO,,NO
20240230,Marathi,VITTHAL RAUT,Daughter-in-law,7526405179,YES,2024-07-14,NO
20240231,Hindi,,,,NO,,NO
20240232,Hindi,KAVITA THAKARE,Daughter,6506998758,YES,2024-08-16,NO
20240233,Marathi,,,,NO,,NO
20240234,Marathi,BHAGWAN NADLIWALE,Son,8404834576,NO,2025-04-19,NO
20240235,Marathi,MADHUKAR OBEROI,Daughter-in-law,8217115223,YES,2025-03-13,NO
20240236,Hindi,BHAGWAN BORKAR,Brother,7458522431,YES,2026-08-08,NO
20240237,Marathi,SHAILAJA RAUT,Daughter,8096183038,NO,2025-06-03,NO
20240238,Marathi,PURUSHOTTAM SHAMASKAR,Sister,9555968413,YES,2023-12-09,NO
20240239,Marathi,INDUMATI KHANDARE,Brother,6780499033,YES,2024-02-03,NO
20240240,Marathi,VANDANA MAHALLE,Sister,9623546795,YES,2024-07-01,NO
20240241,English,KAVITA RAUT,Spouse,7022258852,YES,2024-12-30,NO
20240242,Hindi,MADHUKAR QURESHI,Daughter,6065564245,YES,2024-10-18,NO
20240243,English,SHOBHA BORKAR,Daughter-in-law,6547365319,YES,2025-05-08,NO
20240244,Marathi,,,,NO,,NO
20240245,Marathi,INDUMATI KALAMKAR,Daughter,8167010377,YES,2024-07-09,NO
20240246,Marathi,CHHAYA MAHALLE,Brother,6406209631,NO,2024-01-30,NO
20240247,Marathi,BALKRISHNA BHATKAR,Brother,8767863405,NO,2024-01-06,NO
20240248,Marathi,CHHAYA BORKAR,Spouse,9716535434,YES,2023-08-21,NO
20240249,Marathi,KISHOR SHAIKH,Son,9929055438,YES,2023-11-15,NO
20240250,Marathi,CHHAYA KHANDARE,Daughter-in-law,8312855279,NO,2026-07-31,NO
20240251,Marathi,AMOL DHOTE,Son,9292365798,YES,2025-01-04,NO
20240252,Marathi,,,,NO,,NO
20240253,Marathi,SHAILAJA OBEROI,Daughter-in-law,8610601403,YES,2026-08-20,NO
20240254,Marathi,KAVITA INGLE,Daughter,8049536403,YES,2023-11-28,NO
20240255,Hindi,SAVITA SHAIKH,Daughter-in-law,8291846122,YES,2025-06-18,NO
20240256,Marathi,KALPANA GAWANDE,Daughter-in-law,7710355845,YES,2024-02-27,NO
20240257,Marathi,KISHOR OBEROI,Spouse,9479797826,YES,2023-10-21,NO
20240258,Hindi,PAWAN SHAMASKAR,Spouse,6061252060,YES,2024-09-27,NO
20240259,English,,,,NO,,YES
20240260,Marathi,KALPANA KHANDARE,Brother,9318798781,YES,2024-11-29,NO
20240261,Hindi,KALPANA GAWANDE,Son,9953020331,YES,2026-08-22,NO
20240262,Marathi,VITTHAL NADLIWALE,Sister,8581952771,YES,2024-12-01,NO
20240263,Marathi,VINOD MAHALLE,Sister,8707977004,NO,2025-05-10,NO
20240264,Marathi,PAWAN NADLIWALE,Daughter,8656359729,YES,2023-09-08,NO
20240265,Marathi,SANTOSH DESHMUKH,Brother,7331933382,YES,2025-01-20,NO
20240266,Marathi,CHHAYA KHANDARE,Brother,6223739220,YES,2024-09-23,NO
20240267,Marathi,,,,NO,,NO
20240268,Marathi,VANDANA GADHAWALE,Spouse,7513592076,YES,2023-10-01,NO
20240269,Marathi,SHAILAJA DHOTE,Son,8726521365,YES,2023-08-16,NO
20240270,Marathi,VITTHAL DAMODAR,Daughter,7585396350,YES,2025-02-13,NO
20240271,Marathi,PRALHAD BORKAR,Son,9821874064,YES,2024-01-31,NO
20240272,Marathi,LATA RAUT,Sister,8765984576,YES,2026-09-09,NO
20240273,Marathi,BHAGWAN THAKARE,Daughter,6081440930,YES,2025-06-02,NO
20240274,Marathi,BALKRISHNA BORKAR,Brother,9084504373,NO,2023-12-22,NO
20240275,Marathi,,,,NO,,NO
20240276,Marathi,RAJESH CHINCHMALATPURE,Spouse,9884715415,YES,2024-05-18,YES
20240277,Marathi,,,,NO,,NO
20240278,Hindi,VINOD QURESHI,Daughter-in-law,8086309364,YES,2024-12-02,NO
20240279,Hindi,PURUSHOTTAM BORKAR,Daughter-in-law,9006030086,NO,2024-01-08,NO
20240280,Hindi,PAWAN THAKARE,Daughter,7708804045,NO,2024-11-02,NO
20240281,Marathi,,,,NO,,NO
20240282,Hindi,VINOD KALAMKAR,Sister,9991977555,YES,2024-03-21,NO
20240283,Marathi,,,,NO,,NO
20240284,Hindi,CHHAYA BHATKAR,Spouse,8240057357,YES,2024-07-02,NO
20240285,Marathi,RAJESH NADLIWALE,Spouse,7331907297,YES,2023-12-22,NO
20240286,Marathi,KISHOR OBEROI,Brother,7187735950,YES,2024-11-13,NO
20240287,Marathi,,,,NO,,NO
20240288,Marathi,SHOBHA SARAP,Sister,9097872235,YES,2024-09-03,NO
20240289,Marathi,VITTHAL RAUT,Brother,9028790231,YES,2023-08-26,NO
20240290,Marathi,,,,NO,,NO
20240291,Marathi,SUNANDA NADLIWALE,Sister,9755071810,YES,2024-07-15,NO
20240292,English,PUSHPA GAWANDE,Sister,6812618079,YES,2025-06-16,NO
20240293,Marathi,VANDANA GAWANDE,Brother,8022679699,YES,2024-04-29,NO
20240294,Marathi,ALKA BHATKAR,Daughter,8967211132,YES,2025-05-14,NO
20240295,Marathi,SUDHAKAR THAKARE,Sister,7636903680,YES,2026-08-04,NO
20240296,Marathi,,,,NO,,NO
20240297,Marathi,PUSHPA RAUT,Spouse,9468212279,YES,2024-09-09,NO
20240298,Marathi,,,,NO,,NO
20240299,Hindi,,,,NO,,NO
20240300,Marathi,ARCHANA CHINCHMALATPURE,Daughter,7157029841,YES,2023-09-26,YES
20240301,Marathi,SANTOSH DAMODAR,Daughter-in-law,8499780481,YES,2025-04-15,NO
20240302,Marathi,BALKRISHNA KHANDARE,Sister,6858794148,YES,2025-06-05,NO
20240303,English,,,,NO,,NO
20240304,Marathi,,,,NO,,NO
20240305,Marathi,CHHAYA BHATKAR,Spouse,8948847555,YES,2025-04-28,NO
20240306,Marathi,REKHA WANKHADE,Daughter,6000234143,YES,2026-08-14,NO
20240307,Hindi,SHOBHA DHOTE,Spouse,7005368545,NO,2024-07-12,NO
20240308,Marathi,SHAILAJA OBEROI,Spouse,9491773163,YES,2023-09-07,NO
20240309,Marathi,SHRIKANT DAMODAR,Son,9906860085,YES,2024-04-26,NO
20240310,Marathi,,,,NO,,YES
20240311,Marathi,,,,NO,,NO
20240312,English,SHAILAJA PATHAN,Daughter,7115924701,YES,2023-09-02,NO
20240313,Hindi,NIRMALA NADLIWALE,Daughter,6121447752,YES,2023-08-09,NO
20240314,Marathi,MADHUKAR SHAMASKAR,Sister,6598121149,YES,2023-09-23,NO
20240315,Marathi,,,,NO,,NO
20240317,Marathi,KISHOR TAYADE,Spouse,9233888704,YES,2026-08-21,NO
20240318,Marathi,,,,NO,,NO
20240319,Marathi,,,,NO,,NO
20240320,Marathi,,,,NO,,NO
20240321,Marathi,NIRMALA PATHAN,Sister,6130393353,YES,2025-06-17,NO
20240322,Hindi,VINOD SHAIKH,Sister,8801985894,YES,2023-09-14,NO
20240323,Marathi,SANTOSH INGLE,Spouse,6900477941,YES,2025-06-24,NO
20240325,Marathi,MANGALA NADLIWALE,Daughter,7263564433,YES,2023-08-11,NO
20240326,Marathi,ANANT SARAP,Daughter-in-law,7120625528,YES,2025-05-25,NO
20240327,Marathi,,,,NO,,NO
20240328,Hindi,CHHAYA DHOTE,Spouse,9173323685,YES,2025-06-25,NO
20240329,Marathi,REKHA INGLE,Daughter,7224309458,YES,2024-05-30,NO
20240330,Hindi,DNYANESHWAR PATHAN,Daughter-in-law,9557421730,YES,2024-01-15,YES
20240331,Marathi,,,,NO,,NO
20240332,Hindi,,,,NO,,NO
20240333,Hindi,REKHA SHAMASKAR,Sister,8031604886,YES,2024-06-19,NO
20240334,Marathi,,,,NO,,NO
20240335,Hindi,PURUSHOTTAM OBEROI,Daughter,8358165228,YES,2024-07-01,NO
20240336,Marathi,,,,NO,,NO
20240337,Marathi,NIRMALA TAYADE,Daughter,9905296877,YES,2023-08-18,NO
20240338,Marathi,MADHURI TAYADE,Son,6436965540,YES,2026-08-21,NO
20240339,Marathi,,,,NO,,NO
20240340,Marathi,,,,NO,,NO
20240341,Marathi,SHOBHA DHOTE,Son,7254497063,YES,2024-03-11,NO
20240342,Marathi,SUDHAKAR DAMODAR,Daughter-in-law,9588376308,NO,2023-10-14,NO
20240343,Marathi,MANGALA GAWANDE,Brother,6062010466,YES,2023-09-07,NO
20240344,Marathi,INDUMATI GADHAWALE,Son,6933516897,YES,2023-12-09,NO
20240345,Marathi,MANGALA QURESHI,Spouse,8084181070,NO,2024-11-11,YES
20240346,English,PUSHPA BORKAR,Spouse,7645600152,YES,2025-01-09,NO
20240347,Marathi,PRALHAD MAHALLE,Daughter,8401070405,YES,2024-08-14,NO
20240348,Hindi,NAMDEO KALAMKAR,Brother,7114936487,YES,2023-11-16,NO
20240350,Marathi,SUDHAKAR SHAIKH,Brother,6047268534,YES,2024-05-26,NO
20240351,Hindi,VINOD RAUT,Daughter-in-law,6423743223,YES,2025-01-02,NO
20240352,Marathi,DNYANESHWAR SHAIKH,Sister,6493631258,YES,2023-09-30,NO
20240353,Marathi,PUSHPA GAWANDE,Sister,9872747584,YES,2024-12-10,NO
20240354,Marathi,NAMDEO CHINCHMALATPURE,Sister,6910572418,YES,2023-08-14,NO
20240355,Marathi,KISHOR GAWANDE,Sister,9628467080,YES,2024-09-14,NO
20240356,Hindi,VAISHALI PATHAN,Brother,9547339037,YES,2023-12-01,NO
20240357,Marathi,BHAGWAN KHANDARE,Sister,6263623527,YES,2024-10-12,NO
20240358,Marathi,,,,NO,,NO
20240359,Marathi,CHHAYA WANKHADE,Sister,8984723009,YES,2024-04-05,NO
20240360,Marathi,BHAGWAN QURESHI,Son,9593910291,YES,2024-06-27,NO
20240361,Marathi,GAJANAN NADLIWALE,Brother,6891318373,YES,2025-01-09,NO
20240362,Marathi,,,,NO,,NO
20240363,Hindi,ANANT BHATKAR,Son,9612443303,YES,2023-08-18,NO
20240364,Marathi,NIRMALA CHINCHMALATPURE,Brother,6276443165,YES,2023-12-31,NO
20240365,Marathi,AMOL MAHALLE,Brother,9390378972,YES,2024-12-18,NO
20240366,Marathi,VINOD SHAMASKAR,Daughter,7779048998,YES,2024-04-04,NO
20240367,Marathi,SUNANDA PATHAN,Son,7957470800,YES,2023-07-29,NO
20240368,English,DNYANESHWAR MAHALLE,Brother,8830109274,YES,2024-06-13,NO
20240369,Marathi,KAVITA TAYADE,Sister,6434809545,YES,2024-07-19,NO
20240370,Marathi,SAVITA BORKAR,Daughter,8181599444,YES,2024-05-29,NO
20240372,Marathi,KISHOR OBEROI,Son,7503586619,YES,2024-12-02,NO
20240373,Marathi,PRALHAD NADLIWALE,Daughter,6032094467,YES,2025-05-05,NO
20240374,Hindi,KALPANA INGLE,Sister,7037820816,YES,2025-06-08,NO
20240375,Hindi,REKHA NADLIWALE,Daughter,9247395231,YES,2026-09-12,NO
20240376,Marathi,MADHURI KHANDARE,Daughter,8457014255,YES,2024-05-11,NO
20240377,Marathi,PAWAN CHINCHMALATPURE,Son,9806945596,NO,2025-03-17,NO
20240378,Hindi,,,,NO,,NO
20240379,Hindi,VINOD CHINCHMALATPURE,Brother,9431817575,YES,2025-03-18,NO
20240380,Marathi,VITTHAL TAYADE,Son,9041549103,NO,2024-01-14,NO
20240381,Marathi,,,,NO,,NO
